kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Unie H.A.V.E.L.,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
535010,Středočeský kraj,262,181,181,61,0,0,0,1,11,6,0,23,1,2,0,0,1,0,13,1,0,1,8,11,0,22,19,0,0
532070,Středočeský kraj,135,102,101,21,0,0,0,0,12,3,0,12,0,0,0,0,0,0,6,0,3,1,9,8,0,16,10,0,0
532088,Středočeský kraj,272,152,152,50,1,0,0,0,6,0,0,21,0,3,0,0,0,1,13,0,2,3,17,5,0,18,12,0,0
535125,Středočeský kraj,155,99,99,33,0,0,0,0,14,1,0,7,0,0,0,0,0,0,10,1,4,0,8,4,0,8,9,0,0
532100,Středočeský kraj,243,172,171,26,0,0,0,1,40,4,0,11,2,3,0,0,0,1,13,1,2,3,14,8,0,22,19,0,1
532118,Středočeský kraj,1438,894,883,266,3,1,0,2,83,10,0,99,4,7,1,0,1,2,49,3,13,14,98,28,0,128,70,0,1
532126,Středočeský kraj,847,625,619,164,0,0,0,2,54,13,0,90,3,5,0,0,0,2,40,0,7,11,41,51,0,101,35,0,0
532142,Středočeský kraj,749,489,487,137,0,0,0,0,54,8,0,75,3,9,3,1,1,1,34,1,10,2,55,19,0,51,23,0,0
532169,Středočeský kraj,2508,1645,1639,427,2,3,0,3,115,56,1,246,8,8,2,1,3,3,118,7,35,18,127,125,0,242,87,2,0
532185,Středočeský kraj,568,354,353,88,0,0,0,0,45,7,0,53,4,3,1,0,0,0,20,1,5,2,41,19,0,41,22,0,1
532207,Středočeský kraj,810,418,414,128,1,0,0,0,40,5,0,36,3,5,0,2,0,5,21,6,4,10,63,10,0,50,23,0,2
532223,Středočeský kraj,1263,811,806,222,0,0,0,0,61,14,1,131,5,8,2,0,2,3,53,1,24,14,78,44,0,108,33,0,2
513130,Středočeský kraj,188,131,129,27,0,0,0,0,6,2,0,16,3,2,0,0,0,1,20,2,1,1,12,10,3,14,9,0,0
512991,Středočeský kraj,141,100,100,19,1,0,0,0,15,4,0,13,0,1,0,0,0,0,16,0,1,0,17,2,0,7,4,0,0
532274,Středočeský kraj,830,564,563,156,1,1,0,0,40,8,0,92,1,4,2,0,0,4,42,2,10,3,48,39,0,66,43,0,1
532282,Středočeský kraj,366,226,224,59,1,0,0,0,34,0,1,19,1,2,0,0,1,1,7,0,4,4,41,9,0,24,16,0,0
532291,Středočeský kraj,255,140,140,55,0,1,0,1,17,4,0,11,0,0,0,0,0,0,12,0,1,0,21,1,0,8,7,0,1
513075,Středočeský kraj,282,141,141,47,0,0,0,3,11,5,1,14,1,0,0,0,0,1,5,0,1,2,21,2,0,20,7,0,0
532312,Středočeský kraj,482,381,381,95,0,0,0,0,31,15,1,78,2,3,0,0,0,0,22,0,2,2,29,23,0,60,18,0,0
532321,Středočeský kraj,214,144,142,54,0,0,0,0,11,1,0,34,0,0,0,0,0,1,8,0,1,1,6,9,0,6,10,0,0
535150,Středočeský kraj,99,60,60,20,0,0,0,0,11,1,0,4,0,0,0,0,0,0,1,0,3,0,10,1,0,3,6,0,0
532339,Středočeský kraj,415,192,191,60,0,0,0,1,31,4,0,19,0,0,0,1,0,1,19,0,5,1,22,4,0,12,10,0,1
532347,Středočeský kraj,915,573,568,164,1,0,0,1,40,15,2,85,5,5,1,1,1,2,36,2,8,9,55,39,0,68,28,0,0
532355,Středočeský kraj,409,264,263,84,0,0,0,1,17,6,0,41,1,1,0,0,0,0,15,1,2,1,21,20,0,43,9,0,0
532363,Středočeský kraj,392,251,250,95,0,0,0,0,23,10,0,26,1,4,0,0,1,1,8,0,8,1,23,9,0,22,18,0,0
532371,Středočeský kraj,1528,979,946,313,1,1,0,2,43,14,1,142,5,5,0,0,0,2,65,1,21,7,86,57,1,140,37,1,1
532398,Středočeský kraj,204,124,124,42,0,0,0,1,13,0,0,8,1,0,1,1,0,0,11,0,1,3,14,2,0,14,12,0,0
532401,Středočeský kraj,228,137,137,44,0,0,0,0,28,6,0,12,0,4,1,0,0,0,9,0,0,1,9,5,0,13,5,0,0
532410,Středočeský kraj,305,203,202,48,0,0,0,3,22,2,0,23,3,3,0,1,0,1,28,0,6,1,22,8,0,17,14,0,0
532428,Středočeský kraj,204,142,142,34,0,0,0,0,15,7,1,22,1,0,0,0,0,0,16,0,0,1,17,6,0,17,5,0,0
532444,Středočeský kraj,990,612,612,209,2,0,0,0,64,3,0,70,5,4,0,0,0,1,38,4,9,7,68,13,1,77,37,0,0
532452,Středočeský kraj,1426,930,923,307,1,0,1,0,93,10,0,107,6,9,1,0,5,4,39,0,11,12,99,43,1,114,58,0,2
513032,Středočeský kraj,356,197,196,54,0,0,0,0,32,4,0,25,0,1,0,1,1,0,13,1,2,3,21,6,2,21,8,1,0
532053,Středočeský kraj,53652,29228,29034,8851,16,13,19,46,2482,664,35,3297,224,203,42,17,39,68,1285,80,594,433,3527,1548,12,3480,2001,9,49
532461,Středočeský kraj,822,434,430,129,0,0,1,3,51,8,0,24,0,1,0,0,2,5,14,1,13,5,56,10,0,45,62,0,0
532479,Středočeský kraj,228,137,136,35,0,0,0,0,12,2,0,16,0,3,0,0,1,0,9,1,1,2,26,4,0,19,4,0,1
532487,Středočeský kraj,446,276,275,73,1,0,0,0,20,4,1,44,3,3,0,0,0,2,18,2,3,5,44,11,0,18,23,0,0
532495,Středočeský kraj,484,270,269,80,0,0,1,1,35,5,0,22,5,0,0,0,0,0,10,2,3,7,33,6,0,33,26,0,0
535109,Středočeský kraj,173,124,124,30,0,0,0,0,18,6,0,19,1,0,0,0,0,0,5,0,6,1,22,2,0,9,5,0,0
571512,Středočeský kraj,89,52,52,10,0,0,0,0,8,0,0,4,0,0,0,0,0,0,5,0,3,0,5,1,0,10,6,0,0
532517,Středočeský kraj,63,39,39,14,0,0,0,0,9,2,0,3,0,0,0,0,0,0,0,1,0,0,4,0,0,4,2,0,0
532525,Středočeský kraj,496,338,338,87,0,0,0,0,33,6,0,49,4,1,0,1,1,0,16,1,18,2,27,24,1,54,13,0,0
541991,Středočeský kraj,1626,1046,1032,285,1,0,1,1,107,19,5,168,8,13,1,4,2,0,70,3,18,11,64,59,1,119,69,2,1
532533,Středočeský kraj,380,247,244,63,0,0,0,0,42,7,0,14,3,3,0,0,0,0,22,0,4,2,37,10,1,25,11,0,0
513041,Středočeský kraj,495,363,362,101,1,0,0,1,46,9,1,55,2,1,0,1,2,2,17,1,1,4,30,14,0,48,23,0,2
564150,Středočeský kraj,49,40,40,12,0,0,0,0,3,1,0,7,0,0,0,0,0,0,2,0,0,0,7,1,0,7,0,0,0
571601,Středočeský kraj,266,180,180,42,0,0,0,0,13,9,0,22,0,2,0,4,1,0,7,2,3,3,21,6,0,28,15,0,2
532576,Středočeský kraj,2410,1354,1348,411,1,2,2,3,145,25,0,113,15,8,1,0,3,3,85,3,21,18,175,80,0,148,82,1,3
532584,Středočeský kraj,425,333,331,118,2,0,0,0,25,1,1,50,0,1,0,2,1,0,20,1,6,1,17,30,0,37,18,0,0
571555,Středočeský kraj,90,66,65,27,0,0,0,0,9,0,1,7,0,0,0,0,0,0,5,0,3,1,5,4,0,2,1,0,0
535095,Středočeský kraj,105,68,68,20,0,2,0,0,11,0,0,3,2,2,0,0,0,0,1,0,1,0,19,3,0,1,3,0,0
532622,Středočeský kraj,340,226,226,73,0,0,3,0,12,4,0,24,2,1,0,0,0,0,11,0,6,6,26,18,0,25,15,0,0
532631,Středočeský kraj,385,276,273,67,0,1,0,0,10,5,0,48,3,0,0,0,0,0,11,1,6,5,33,24,0,40,18,0,1
513113,Středočeský kraj,199,136,134,31,0,0,0,0,9,1,1,30,0,0,0,0,0,0,10,0,3,2,10,10,0,18,9,0,0
532657,Středočeský kraj,321,192,192,56,0,1,0,0,27,2,0,17,1,1,1,0,2,1,13,0,6,5,29,4,0,15,11,0,0
571521,Středočeský kraj,134,80,78,23,0,0,0,1,4,0,0,9,0,1,0,0,1,0,3,0,0,0,18,2,0,9,7,0,0
532665,Středočeský kraj,330,184,184,59,0,0,0,1,16,0,0,23,0,3,0,0,0,0,9,1,1,0,29,6,0,24,11,1,0
532681,Středočeský kraj,598,388,385,135,2,0,0,7,44,5,1,49,3,6,1,0,0,1,17,2,5,2,24,25,0,34,22,0,0
564192,Středočeský kraj,165,98,98,45,0,0,0,1,13,1,0,4,0,0,0,0,0,1,10,0,1,1,11,0,0,3,6,0,1
532711,Středočeský kraj,135,86,85,7,0,0,0,1,12,3,0,11,0,1,1,1,2,0,4,0,2,0,10,10,1,15,3,0,1
532720,Středočeský kraj,1556,930,922,266,2,1,1,3,124,7,2,86,2,13,1,2,0,4,49,4,22,9,120,33,1,92,78,0,0
532738,Středočeský kraj,401,268,267,71,1,0,1,1,25,7,1,47,2,1,0,0,1,0,17,1,0,2,29,15,0,29,14,1,1
564125,Středočeský kraj,158,104,104,44,0,0,0,0,19,4,0,4,0,0,0,0,0,0,9,0,0,2,1,2,0,13,5,0,1
532754,Středočeský kraj,253,152,150,41,1,0,0,0,16,5,0,13,0,0,1,0,0,0,15,1,4,3,15,4,0,14,17,0,0
564087,Středočeský kraj,176,115,114,42,0,0,0,2,12,7,0,7,0,1,0,0,1,0,5,1,0,0,22,1,0,11,2,0,0
532762,Středočeský kraj,336,228,227,84,1,0,0,0,31,3,1,24,0,3,0,0,0,1,9,0,2,3,13,14,0,15,23,0,0
532771,Středočeský kraj,317,198,198,79,0,0,0,0,14,1,1,15,3,5,0,1,1,0,13,1,4,2,13,11,0,24,10,0,0
532797,Středočeský kraj,290,194,193,42,1,0,0,1,13,6,0,20,3,3,2,0,0,0,13,3,11,1,34,3,0,31,6,0,0
532801,Středočeský kraj,257,159,158,43,1,0,0,0,19,5,0,13,0,3,0,0,1,1,8,0,4,1,32,2,0,20,5,0,0
532819,Středočeský kraj,12020,6948,6919,2126,8,4,6,28,569,134,11,857,44,39,5,6,13,15,411,21,171,113,691,333,1,791,511,0,11
532827,Středočeský kraj,448,291,289,91,0,0,0,2,41,8,0,32,3,0,0,0,0,0,26,1,4,2,32,7,0,24,16,0,0
532835,Středočeský kraj,1472,790,787,211,0,1,2,0,83,25,0,99,7,6,2,1,3,3,68,1,9,13,98,31,0,68,54,1,1
532851,Středočeský kraj,616,392,391,82,0,0,0,0,44,6,0,63,4,2,1,1,0,1,34,0,5,7,47,27,0,51,15,0,1
532860,Středočeský kraj,4432,2325,2310,716,1,0,2,6,228,40,1,186,15,43,3,2,4,4,151,5,39,17,314,56,3,203,267,2,2
599441,Středočeský kraj,95,45,45,15,0,0,0,0,8,1,0,5,0,0,0,0,0,1,0,0,1,0,8,1,0,2,3,0,0
551457,Středočeský kraj,357,215,215,68,0,0,0,1,16,12,0,31,3,3,0,0,0,0,17,0,3,1,14,11,0,29,5,0,1
599433,Středočeský kraj,429,306,303,54,1,0,1,0,10,10,0,52,2,1,0,1,0,0,46,0,8,2,31,25,0,47,12,0,0
532908,Středočeský kraj,578,364,359,116,2,0,1,0,38,4,0,47,3,2,0,0,0,2,11,1,3,2,38,13,0,32,42,0,2
532916,Středočeský kraj,143,79,79,18,0,0,0,0,11,2,0,11,0,2,0,0,0,0,1,0,0,2,7,5,0,6,14,0,0
532959,Středočeský kraj,471,283,283,116,0,0,0,3,31,4,0,34,3,4,0,0,1,0,13,1,2,2,22,12,0,25,8,1,1
532967,Středočeský kraj,190,144,143,46,0,0,0,0,14,1,1,27,0,2,0,0,0,0,5,0,1,2,13,5,0,18,8,0,0
532975,Středočeský kraj,418,246,242,87,0,0,0,1,30,4,0,19,1,1,0,1,1,0,11,1,3,5,36,6,0,21,14,0,0
532983,Středočeský kraj,1983,1314,1305,366,2,2,2,1,121,18,0,169,3,8,1,0,2,1,184,4,17,23,127,47,0,134,71,0,2
532177,Středočeský kraj,479,293,292,94,0,0,0,1,32,3,1,25,0,2,1,7,0,0,12,0,4,6,43,5,0,39,17,0,0
533009,Středočeský kraj,288,148,148,46,0,0,0,1,18,0,1,16,3,1,1,0,0,0,10,1,3,4,14,4,0,17,8,0,0
533017,Středočeský kraj,3626,2396,2376,608,3,2,3,3,153,68,5,345,15,13,3,3,2,4,114,5,56,38,183,242,1,341,164,0,2
533025,Středočeský kraj,1365,995,988,292,1,0,0,4,49,25,0,175,7,13,3,0,0,3,64,1,13,9,77,73,3,122,53,0,1
533033,Středočeský kraj,805,535,533,156,1,0,0,1,39,9,1,64,5,3,0,0,0,0,26,1,12,9,72,33,0,77,21,3,0
533041,Středočeský kraj,2472,1448,1440,398,3,0,1,5,153,29,1,161,12,21,1,0,1,4,115,1,14,29,168,57,0,130,129,2,5
533050,Středočeský kraj,1984,1223,1219,432,4,2,1,9,128,12,1,98,8,14,3,0,4,6,42,4,20,13,138,46,1,140,93,0,0
533068,Středočeský kraj,580,309,308,110,0,1,0,0,35,13,0,18,0,5,0,0,0,1,19,0,9,2,34,5,0,29,26,0,1
571431,Středočeský kraj,187,88,88,34,0,1,0,0,20,0,0,3,1,0,0,0,0,0,0,0,0,1,11,0,0,8,7,0,2
571598,Středočeský kraj,92,58,57,19,1,0,0,2,3,0,0,10,0,2,0,0,0,0,5,0,2,0,8,1,0,2,2,0,0
533092,Středočeský kraj,454,287,287,62,0,0,0,0,32,10,1,29,5,1,1,2,0,0,32,0,3,5,29,16,0,39,20,0,0
571423,Středočeský kraj,119,105,105,33,0,0,0,0,6,4,0,16,0,0,0,0,0,1,17,0,1,3,2,3,0,9,10,0,0
533114,Středočeský kraj,1806,881,876,309,1,0,2,8,105,16,0,70,5,15,2,0,2,2,39,2,15,13,128,19,1,61,60,0,1
533122,Středočeský kraj,701,364,364,118,0,0,0,0,43,7,0,36,1,0,0,0,0,0,6,0,7,6,54,16,0,43,26,0,1
599425,Středočeský kraj,151,91,91,39,0,0,0,0,11,5,0,1,1,1,0,0,0,0,2,0,0,1,5,4,0,11,10,0,0
533149,Středočeský kraj,645,427,425,103,1,0,1,0,54,10,0,48,2,3,0,0,1,2,29,1,11,6,56,19,0,49,29,0,0
533157,Středočeský kraj,487,298,296,107,1,0,0,1,27,0,0,43,0,3,0,0,2,1,17,0,1,3,27,6,0,40,16,0,1
